reach,urbanized,restored,water,observation_date,common_name,herp_type,lizard_or_not,quantity
Rio,Urban,Restored,Perennial,4/8/12,American Bullfrog,frog,not lizard,1
Price,Urban,NotRestored,Perennial,4/29/12,American Bullfrog,frog,not lizard,3
Priest,Urban,NotRestored,Perennial,6/10/12,American Bullfrog,frog,not lizard,1
Price,Urban,NotRestored,Perennial,6/12/12,American Bullfrog,frog,not lizard,3
Rio,Urban,Restored,Perennial,6/13/12,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,3/13/13,American Bullfrog,frog,not lizard,3
Price,Urban,NotRestored,Perennial,9/24/16,American Bullfrog,frog,not lizard,10
Priest,Urban,NotRestored,Perennial,9/25/16,American Bullfrog,frog,not lizard,5
Tonto,NonUrban,NotRestored,Perennial,5/11/17,American Bullfrog,frog,not lizard,2
Rio,Urban,Restored,Perennial,5/18/17,American Bullfrog,frog,not lizard,5
BM,Urban,Restored,Perennial,5/22/17,American Bullfrog,frog,not lizard,4
Price,Urban,NotRestored,Perennial,5/23/17,American Bullfrog,frog,not lizard,4
Priest,Urban,NotRestored,Perennial,5/24/17,American Bullfrog,frog,not lizard,2
BM,Urban,Restored,Perennial,6/15/17,American Bullfrog,frog,not lizard,3
Tonto,NonUrban,NotRestored,Perennial,6/16/17,American Bullfrog,frog,not lizard,1
Price,Urban,NotRestored,Perennial,6/22/17,American Bullfrog,frog,not lizard,3
Rio,Urban,Restored,Perennial,6/29/17,American Bullfrog,frog,not lizard,9
Ave35,Urban,NotRestored,Ephemeral,7/1/17,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,9/25/17,American Bullfrog,frog,not lizard,19
BM,Urban,Restored,Perennial,10/2/17,American Bullfrog,frog,not lizard,2
Price,Urban,NotRestored,Perennial,6/19/20,American Bullfrog,frog,not lizard,1
BM,Urban,Restored,Perennial,6/25/20,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,7/2/20,American Bullfrog,frog,not lizard,3
Rio,Urban,Restored,Perennial,9/23/20,American Bullfrog,frog,not lizard,1
Tonto,NonUrban,NotRestored,Perennial,9/24/20,American Bullfrog,frog,not lizard,1
BM,Urban,Restored,Perennial,5/4/22,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,5/5/22,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,6/7/22,American Bullfrog,frog,not lizard,1
BM,Urban,Restored,Perennial,6/16/22,American Bullfrog,frog,not lizard,1
Rio,Urban,Restored,Perennial,6/13/12,Checkered Gartersnake,snake,not lizard,1
Ave35,Urban,NotRestored,Ephemeral,9/18/16,Common Kingsnake,snake,not lizard,1
Rio,Urban,Restored,Perennial,5/18/17,Common Kingsnake,snake,not lizard,1
Price,Urban,NotRestored,Perennial,6/22/17,Common Kingsnake,snake,not lizard,1
Tonto,NonUrban,NotRestored,Perennial,3/25/12,Common Side-blotched Lizard,lizard,is lizard,1
Priest,Urban,NotRestored,Perennial,6/10/12,Common Side-blotched Lizard,lizard,is lizard,1
Ave35,Urban,NotRestored,Ephemeral,6/14/12,Common Side-blotched Lizard,lizard,is lizard,1
Rio,Urban,Restored,Perennial,3/13/13,Common Side-blotched Lizard,lizard,is lizard,2
Tonto,NonUrban,NotRestored,Perennial,3/18/13,Common Side-blotched Lizard,lizard,is lizard,2
Rio,Urban,Restored,Perennial,9/17/16,Common Side-blotched Lizard,lizard,is lizard,2
Ave35,Urban,NotRestored,Ephemeral,9/18/16,Common Side-blotched Lizard,lizard,is lizard,1
Ave67,Urban,NotRestored,Ephemeral,9/19/16,Common Side-blotched Lizard,lizard,is lizard,2
BM,Urban,Restored,Perennial,9/28/16,Common Side-blotched Lizard,lizard,is lizard,2
BM,Urban,Restored,Perennial,9/28/16,Common Side-blotched Lizard,lizard,is lizard,33
Tonto,NonUrban,NotRestored,Perennial,9/29/16,Common Side-blotched Lizard,lizard,is lizard,1
BM,Urban,Restored,Perennial,5/22/17,Common Side-blotched Lizard,lizard,is lizard,6
BM,Urban,Restored,Perennial,6/15/17,Common Side-blotched Lizard,lizard,is lizard,3
BM,Urban,Restored,Perennial,6/15/17,Common Side-blotched Lizard,lizard,is lizard,2
BM,Urban,Restored,Perennial,6/15/17,Common Side-blotched Lizard,lizard,is lizard,1
Priest,Urban,NotRestored,Perennial,6/24/17,Common Side-blotched Lizard,lizard,is lizard,1
